time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,effort1,effort2,effort3,effort4,effort5
1.501,0.0002800561847882923,-9.368299177654675e-05,0.9168698671259252,0.00227442027440802,-0.0022780278663685092,0.7063207098126622,0.7078846604434884,-0.00028631730586425874,0.9299837973877345,0.00017508920269193595,-0.4844478067926872,0.0008825605299911388
1.55,0.00028005631270622766,-9.388276521039298e-05,0.9168698669646613,0.002214021269594997,-0.002217493811623225,0.7063209094764848,0.7078848449199382,-0.00014318206886798635,0.9312275098034561,-0.00015514671147798254,-0.48543613772267236,0.007384130459975324
1.6,0.0002800562999135504,-9.386324007033315e-05,0.9168698669634673,0.002223050979989297,-0.0022265435529491176,0.7063208838121886,0.7078848138213707,-5.798205027218728e-05,0.9222807136595179,0.0005710213102361195,-0.4815869698688857,-0.009448409154266812
1.651,0.00028005623513593995,-9.375693838955214e-05,0.9168698672417231,0.0022195873810941062,-0.002223074016644963,0.7063208513384773,0.7078848679963875,0.0001382139389605186,0.9214414758549339,0.0003606791674215515,-0.4817764364091204,-0.005973335897024867
1.701,0.0002800562522232624,-9.378430233630738e-05,0.9168698671942642,0.00221601467104132,-0.002219493079379354,0.7063208687964873,0.7078848730069207,0.00022528213250438966,0.9234567956877271,3.988161623169617e-05,-0.48295436693379656,0.0006718824756113406
1.75,0.0002800561644977164,-9.364802538278189e-05,0.9168698672769318,0.0022622884564596065,-0.0022658700781764754,0.7063207223733059,0.7078847258062434,0.0001369302902176628,0.9220712288469102,0.0003025889796504089,-0.4820611822848875,-0.0046619061707886544
1.8010000000000002,0.0002800561717535592,-9.36589194529006e-05,0.9168698672845778,0.0022559509238334963,-0.002259518529299613,0.7063207397140573,0.7078847490313891,1.2010320737942948e-05,0.9291288338149073,-0.00018486255726202216,-0.48492880996953147,0.007066639449071488
1.85,0.00028005623329742943,-9.375883238320246e-05,0.9168698670619849,0.0022520099999186064,-0.0022555674570187935,0.7063207851232036,0.707884728871409,0.00013213187965988027,0.9269597727890044,-0.00015597613156614898,-0.4842865768681648,0.00565680998025897
1.901,0.0002800562193224318,-9.373655480117578e-05,0.9168698670968879,0.00225561741454382,-0.0022591830969163795,0.706320769297649,0.7078847216465344,-0.00017243843419834093,0.9274325032935238,0.00024963155542678805,-0.4836121327578269,-0.001511934973841278
1.95,0.0002800562770853367,-9.382566898028499e-05,0.9168698670657873,0.002221101252104963,-0.002224590141229931,0.7063208738155934,0.7078848360576094,-0.0001225136916360725,0.928790548142544,4.640094264374284e-05,-0.48438030268904697,0.002731116664289601
